Specimen,Collection,Kingdom,Classifaction,Class,Order,Common Name,Family,Species,Author,Year,Location,lat,lon
CMNHENT0043231,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Dragonfly,Aeschnidae,Anax junius,Drury,1773,"Big Creek tributary, within east Chardon township, near Chardon, Chardon township",41.6055,-81.1999
CMNHENT0043224,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Dragonfly,Aeschnidae,Anax junius,Drury,1773,"Holden Arboretum, Lake Co., OH",41.6,-81.32
CMNHENT0043222,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Dragonfly,Aeschnidae,Anax junius,Drury,1773,"Camp Stigwandish, Lake Co., OH",41.7333,-81.0194
CMNHENT0043169,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Dragonfly,Aeschnidae,Anax junius,Drury,1773,"Big Creek tributary, within east Chardon township, near Chardon, Chardon township",41.6055,-81.1999
CMNHENT0043088,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Dragonfly,Aeschnidae,Aeshna canadensis,Walker,1908,"CAN, Ontario, Drag Lake, Wye Marsh",44.709,-79.864
CMNHENT0043087,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Dragonfly,Aeschnidae,Aeshna canadensis,Walker,1908,"CAN, Ontario, Drag Lake, Wye Marsh",44.709,-79.864
CMNHENT0043086,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Dragonfly,Aeschnidae,Aeshna canadensis,Walker,1908,"NY. Adirondacks, Durant Lake",43.8417,-74.4078
CMNHENT0043085,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Dragonfly,Aeschnidae,Aeshna canadensis,Walker,1908,"Rock River, Hamilton Co., NY",43.8458,-74.2611
CMNHENT0043083,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Dragonfly,Aeschnidae,Aeshna canadensis,Walker,1908,"NY. Adirondacks, Durant Lake",43.8417,-74.4078
