16_16_16,32_32_32,64_64_64,128_128_128,16_16_16_16,32_32_32_32
9.916297692642845,8.68121585241977,5.3587624476080595,4.013714384763518,9.817426871785944,8.703277470782156
6.553468741180358,1.2101697322695275,0.3327652888542321,0.1702235005505523,4.618547372483843,1.0220354005301053
0.9044522666509776,0.3654489410007446,0.12433202576953233,0.06424184255589975,0.510287058379557,0.1691911665083264
0.5716396221559941,0.1658597915616791,0.11127184143077376,0.03294042214577208,0.21181171856082875,0.11615693027923757
0.4286348693738459,0.09479424840666496,0.10604293848620848,0.017738930575512013,0.12517180218258442,0.11111743062610548
0.2944973438935444,0.0657496449525491,0.10130486622189444,0.013614663347174082,0.11487006465944916,0.10807107083691177
0.19008847541431945,0.05496045033182142,0.0961137174258894,0.0073209880230757,0.10914748628026136,0.10580738896344669
0.1363062693930288,0.04758555480744277,0.08964971291011396,0.00644125377758137,0.10590539676623713,0.10381342290242104
0.11590762444694146,0.040671175884137184,0.08153113325654683,0.006223639700837471,0.10376834900359076,0.10186896281576772
0.103262821057079,0.029411365842569294,0.07276807700711357,0.006125504197129953,0.10184864880702156,0.09995122029460568
0.0800408524351008,0.019960377174370873,0.061973508032266526,0.0059725756868846715,0.09987558780216987,0.09807144421554129
0.06939292462375825,0.0189546231713328,0.04688539605825514,0.005768879627927395,0.09758214568237987,0.09622020900294505
0.0626392959896283,0.018695175139667928,0.028863352003463155,0.0057968836996771965,0.09497432403662297,0.09440165540619166
0.055922452393014715,0.01852473507986863,0.020526369595008385,0.005406341782647161,0.09179046929247056,0.09258284612696238
0.04908276350553891,0.018424853828349567,0.01916033434179609,0.005014749674308807,0.08406957858701697,0.08897287071430053
0.04321728447941865,0.01834357085278853,0.018789160724727347,0.0047206292816793505,0.05308521550186564,0.0670318040389945
0.038981652194945315,0.018270942514867824,0.018566251534026343,0.0045463809819092,0.03530519854476097,0.03982812180211978
0.03605070510655448,0.018206728970014567,0.018340222627676414,0.0044733970921167505,0.03096901115368992,0.027031990002076914
0.03408748107614413,0.01814631394092284,0.018157578689742042,0.003999994963503064,0.02994903629873564,0.020603453868990745
0.03271199718826903,0.018091693617356814,0.017929560276313417,0.004118071908597349,0.029123890011202424,0.01908771582206224
